,support,itemsets
0,0.4014365522745411,frozenset({'good'})
1,0.3192338387869114,frozenset({'product'})
2,0.1739824421388667,frozenset({'installation'})
3,0.023543495610534718,frozenset({'well'})
4,0.023543495610534718,frozenset({'like'})
5,0.14365522745411013,frozenset({'bed'})
6,0.06424581005586592,frozenset({'time'})
7,0.035913806863527534,frozenset({'design'})
8,0.029529130087789304,frozenset({'go'})
9,0.023942537909018357,frozenset({'storage'})
10,0.020750199521149242,frozenset({'size'})
11,0.019553072625698324,frozenset({'purchase'})
12,0.01596169193934557,frozenset({'u'})
13,0.011971268954509178,frozenset({'thing'})
14,0.010375099760574621,frozenset({'support'})
15,0.010375099760574621,frozenset({'side'})
16,0.009976057462090982,frozenset({'fit'})
17,0.009577015163607342,frozenset({'give'})
18,0.007980845969672785,frozenset({'proper'})
19,0.007581803671189146,frozenset({'head'})
20,0.11931364724660815,frozenset({'money'})
21,0.05107741420590583,frozenset({'one'})
22,0.04349561053471668,frozenset({'wood'})
23,0.04309656823623304,frozenset({'delivery'})
24,0.028731045490822026,frozenset({'best'})
25,0.02713487629688747,frozenset({'awesome'})
26,0.020750199521149242,frozenset({'range'})
27,0.019952114924181964,frozenset({'get'})
28,0.01675977653631285,frozenset({'material'})
29,0.01596169193934557,frozenset({'need'})
30,0.015163607342378291,frozenset({'look'})
31,0.013966480446927373,frozenset({'thank'})
32,0.013567438148443736,frozenset({'guy'})
33,0.013168395849960097,frozenset({'mattress'})
34,0.0111731843575419,frozenset({'take'})
35,0.009976057462090982,frozenset({'ply'})
36,0.007182761372705506,frozenset({'shift'})
37,0.08659217877094973,frozenset({'price'})
38,0.02713487629688747,frozenset({'perfect'})
39,0.01636073423782921,frozenset({'floor'})
40,0.015163607342378291,frozenset({'team'})
41,0.014365522745411013,frozenset({'height'})
42,0.0111731843575419,frozenset({'think'})
43,0.009976057462090982,frozenset({'space'})
44,0.008379888268156424,frozenset({'everything'})
45,0.007581803671189146,frozenset({'enough'})
46,0.14924181963288108,frozenset({'quality'})
47,0.014764565043894652,frozenset({'please'})
48,0.011971268954509178,frozenset({'water'})
49,0.04868316041500399,frozenset({'service'})
50,0.011971268954509178,frozenset({'budget'})
51,0.009577015163607342,frozenset({'bit'})
52,0.007182761372705506,frozenset({'house'})
53,0.027932960893854747,frozenset({'use'})
54,0.018355945730247406,frozenset({'cant'})
55,0.014365522745411013,frozenset({'durable'})
56,0.01157222665602554,frozenset({'bought'})
57,0.007980845969672785,frozenset({'place'})
58,0.007980845969672785,frozenset({'bottom'})
59,0.007581803671189146,frozenset({'finish'})
60,0.017158818834796488,frozenset({'day'})
61,0.015163607342378291,frozenset({'technician'})
62,0.07063048683160415,frozenset({'value'})
63,0.06584197924980048,frozenset({'buy'})
64,0.007980845969672785,frozenset({'fine'})
65,0.008778930566640064,frozenset({'see'})
66,0.11412609736632083,frozenset({'nice'})
67,0.017557861133280128,frozenset({'amp'})
68,0.014365522745411013,frozenset({'id'})
69,0.008379888268156424,frozenset({'case'})
70,0.008379888268156424,frozenset({'cost'})
71,0.04309656823623304,frozenset({'worth'})
72,0.025937749401436554,frozenset({'person'})
